Code du département;Département;Code de la circonscription;Circonscription;Code de la commune;Commune;Bureau de vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Insee;Coordonnées;Nom Bureau Vote;Adresse;Code Postal;Ville;uniq_bdv
94;Val-de-Marne;11;11ème circonscription;016;Cachan;0016;969;443;45.72;526;54.28;5;0.52;0.9500000000000001;5;0.52;0.9500000000000001;516;53.25;98.1;14;F;DE COMARMOND;Hélène;SOC;65;6.71;12.6;94016;48.792674,2.331132;Gymnase Belle Image;24 rue des deux Frères;94230;Cachan;Gymnase Belle Image -  Cachan
94;Val-de-Marne;11;11ème circonscription;016;Cachan;0006;1142;448;39.23;694;60.77;5;0.44;0.72;3;0.26;0.43;686;60.07;98.85;10;M;HAREL;Jean-François;DVD;0;0.0;0.0;94016;48.792042,2.339682;Ecole deu Coteau;36 rue des Vignes;94230;Cachan;Ecole deu Coteau -  Cachan
94;Val-de-Marne;05;5ème circonscription;052;Nogent-sur-Marne;0021;865;405;46.82;460;53.18;3;0.35000000000000003;0.65;0;0.0;0.0;457;52.83;99.35;10;F;STEFANOFF;Dominique;DLF;0;0.0;0.0;94052;48.839308,2.482033;Ecole primaire Paule Bert;46 rue Paul Bert;94130;Nogent-sur-Marne;Ecole primaire Paule Bert -  Nogent-sur-Marne
94;Val-de-Marne;05;5ème circonscription;058;Le Perreux-sur-Marne;0015;1017;466;45.82;551;54.18;1;0.1;0.18;1;0.1;0.18;549;53.98;99.64;13;F;ADOMO;Caroline;SOC;24;2.36;4.37;94058;48.837619,2.50015;Les 4 saisons (1);2 rue Jean d'Etienne d'Orves;94170;Le Perreux-sur-Marne;Les 4 saisons (1) -  Le Perreux-sur-Marne
94;Val-de-Marne;04;4ème circonscription;079;Villiers-sur-Marne;0003;1075;564;52.47;511;47.53;4;0.37;0.78;1;0.09;0.2;506;47.07;99.02;8;F;MOULIN;Brigitte;EXG;4;0.37;0.79;94079;48.826275,2.541606;Salle des fêtes Georges Brassens;Rue Boieldieu;94350;Villiers-sur-Marne;Salle des fêtes Georges Brassens -  Villiers-sur-Marne
94;Val-de-Marne;08;8ème circonscription;069;Saint-Maurice;0005;813;322;39.61;491;60.39;0;0.0;0.0;3;0.37;0.61;488;60.02;99.39;12;F;DUPUY;Anne;DVD;6;0.74;1.23;94069;48.823389,2.420725;Ecole primaire Roger Recet - préau;5bis rue Eugène Delacroix;94410;Saint-Maurice;Ecole primaire Roger Recet - préau -  Saint-Maurice
94;Val-de-Marne;10;10ème circonscription;041;Ivry-sur-Seine;0036;664;308;46.39;356;53.61;4;0.6000000000000001;1.12;0;0.0;0.0;352;53.01;98.88;11;F;WAELER;Myriam;DLF;4;0.6000000000000001;1.1400000000000001;94041;48.815005,2.381186;Collège Henri Wallon salle 2;3 place Danton;94200;Ivry-sur-Seine;Collège Henri Wallon salle 2 -  Ivry-sur-Seine
94;Val-de-Marne;03;3ème circonscription;044;Limeil-Brévannes;0012;927;527;56.85;400;43.15;1;0.11;0.25;5;0.54;1.25;394;42.5;98.5;10;M;GOUGOUGNAN-ZADIGUE;Emmanuelly;DLF;13;1.4;3.3;94044;48.753016,2.488336;Ecole maternelle Anatole France (2);5 rue Pierre et Angèle Le Hen;94450;Limeil-Brévannes;Ecole maternelle Anatole France (2) -  Limeil-Brévannes
94;Val-de-Marne;08;8ème circonscription;046;Maisons-Alfort;0011;787;337;42.82;450;57.18;5;0.64;1.11;1;0.13;0.22;444;56.42;98.67;15;F;GACKIERE;Sylvie;DIV;7;0.89;1.58;94046;48.799721,2.441933;Conservatoire municipal;83 rue Victor Hugo;94700;Maisons-Alfort;Conservatoire municipal -  Maisons-Alfort
94;Val-de-Marne;01;1ère circonscription;011;Bonneuil-sur-Marne;0001;970;591;60.93;379;39.07;4;0.41000000000000003;1.06;3;0.31;0.79;372;38.35;98.15;9;F;TAGNATI;Marie-Claire;DLF;12;1.24;3.23;94011;48.773982,2.486303;Centre de Loisirs Langevin Wallon;10 rue Auguste Gross;94380;Bonneuil-sur-Marne;Centre de Loisirs Langevin Wallon -  Bonneuil-sur-Marne
94;Val-de-Marne;03;3ème circonscription;075;Villecresnes;0003;929;480;51.67;449;48.33;8;0.86;1.78;2;0.22;0.45;439;47.26;97.77;11;M;BOURSE PROVENCE;Dominique;FN;54;5.8100000000000005;12.3;94075;48.722673,2.533324;FIEF;49 rue du lieutenant Dagorno;94440;Villecresnes;FIEF -  Villecresnes
94;Val-de-Marne;11;11ème circonscription;076;Villejuif;0028;775;482;62.19;293;37.81;6;0.77;2.05;3;0.39;1.02;284;36.65;96.93;3;F;FLORENCE;Nicole;EXG;2;0.26;0.7000000000000001;94076;48.785487,2.371777;Ecole élémentaire Paul Vaillant - Couturier;4 place Paul Eluard;94800;Villejuif;Ecole élémentaire Paul Vaillant - Couturier -  Villejuif
94;Val-de-Marne;10;10ème circonscription;043;Le Kremlin-Bicêtre;0010;966;496;51.35;470;48.65;8;0.8300000000000001;1.7000000000000002;2;0.21;0.43;460;47.62;97.87;8;F;MAKANGILA-LEBO;Clémentine;DIV;0;0.0;0.0;94043;48.80858,2.357695;Ecole Charles Péguy;3 bis rue de Verdun;94270;Le Kremlin-Bicêtre;Ecole Charles Péguy -  Le Kremlin-Bicêtre
94;Val-de-Marne;02;2ème circonscription;028;Créteil;0002;940;533;56.7;407;43.3;7;0.74;1.72;1;0.11;0.25;399;42.45;98.03;6;M;DIGUET;Patrice;COM;8;0.85;2.01;94028;48.778377,2.45384;Hôtel de Ville - Salle des Commissions No 2;Place Salcador Allende;94000;Créteil;Hôtel de Ville - Salle des Commissions No 2 -  Créteil
